Team,Rotation,Serve Loc,Speed,Pass Loc,Passer #,PassRTG,OH Path,MH Path,RS Path,Setter #,Setter zone,Set,Hitter #,Hit To,Result,Speed,FBWL
CCU,2,C,O,6,1,0,,,,,,,,,,,L
CCU,2,C,O,1,23,0,,,,,,,,,,,L
CCU,5,C,O,6,1,3,4,3,5,8,3,5,7,1,K,+,W
CCU,2,C,O,1,23,0,,,,,,,,,,,L
CCU,5,C,-,6,1,3,4,3,5,8,3,5,7,2,K,+,W
CCU,5,C,O,1,23,3,4,3,5,8,3,4,11,1,BK,+,W
CCU,2,C,O,5,11,0,,,,,,,,,,,L
CCU,5,C,O,6,1,3,4,1,5,8,3,5,7,1,Ba,+,
CCU,5,C,O,1,23,1,4,1,5,8,3,4,11,6,BE,+,L
CCU,5,C,O,5,11,3,4,1,5,8,3,5,7,R3,BA,-,
CCU,5,C,O,5,1,2,4,3,5,8,4,4,11,5,K,+,W
CCU,5,C,O,5,11,2,4,3,5,8,4,5,7,1,K,+,W
CCU,5,C,O,6,23,3,4,1,5,8,3,5,7,1,K,+,W
CCU,5,C,-,6,1,1,4,1,5,8,3,5,7,6,BE,+,L
CCU,5,C,O,5,11,3,4,1,5,8,3,5,7,1,BK,+,W
CCU,6,C,O,6,1,3,4,2,5,8,3,2,16,1,BK,+,W
CCU,6,C,O,5,23,1,2,4,5,8,4,4,16,5,K,+,W
CCU,6,C,O,6,1,3,2,4,5,8,3,2,11,5,BK,+,W
CCU,6,C,O,5,23,1,4,2,5,8,6,5,7,1,BA,+,
CCU,3,C,O,3,8,1,4,,5,16,3,4,11,6,BA,O,
CCU,6,C,O,5,23,3,2,4,5,8,3,5,7,T2,K,-,W
CCU,6,C,O,4,16,3,4,2,5,8,3,5,7,5,K,+,W
CCU,6,A,O,5,23,2,4,2,5,8,2,5,7,5,K,+,W
CCU,6,C,-,5,23,1,4,2,5,8,5,5,7,1,K,+,W
CCU,1,A,O,1,1,1,4,,5,7,2,5,5,R3,A,-,
CCU,1,A,O,5,11,3,4,2,5,7,3,2,16,5,K,+,W
CCU,1,A,O,1,1,2,4,B,5,7,2,B,16,T4,A,-,
CCU,1,C,-,2,1,1,4,,,7,6,4,11,1,K,+,W
CCU,1,A,O,5,6,1,4,2,5,7,2,2,16,6,BK,+,W
CCU,1,C,O,6,23,2,4,2,5,7,4,2,16,6,BA,+,
CCU,4,C,O,6,23,0,,,,,,,,,,,L
